iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,chosen
1,1.000000e+00,0,4,CONTINUE,1.000000e+00,1.220889e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403572e+00,8.975577e-01,1.000000e-02,1.183500e+00,3.407634e+00,5.050480e-01,4.533097e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,4.966386e-02,NaN,4.118490e-02,NaN,4.594719e-02,NaN,4.442918e-01,9.811249e-02,8.293260e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+00,0,4,CONTINUE,1.000000e+00,1.190052e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403572e+00,9.007136e-01,1.000000e-02,1.182747e+00,3.396734e+00,4.933475e-01,4.443648e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.866773e-02,NaN,1.979210e-02,NaN,1.844316e-02,NaN,1.666966e-01,3.632586e-02,3.374512e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+01,0,3,CONTINUE,1.000000e+00,1.185712e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403572e+00,9.012353e-01,1.000000e-02,1.177680e+00,3.391115e+00,4.869427e-01,4.388499e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.288119e-02,NaN,6.881161e-03,NaN,6.682947e-03,NaN,5.604545e-02,1.077908e-02,1.183785e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,true
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,1.176376e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.021344e-01,1.000000e-02,1.180842e+00,3.390711e+00,4.871494e-01,4.394742e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.386040e-03,NaN,2.377886e-03,NaN,2.215478e-03,NaN,1.808860e-02,3.771803e-03,3.882536e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,1.173158e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.024459e-01,1.000000e-02,1.181858e+00,3.390503e+00,4.871556e-01,4.396316e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.350851e-03,NaN,7.739580e-04,NaN,7.113788e-04,NaN,5.757080e-03,1.230971e-03,1.242381e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,1.172113e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.025472e-01,1.000000e-02,1.182181e+00,3.390428e+00,4.871515e-01,4.396772e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.450212e-04,NaN,2.470410e-04,NaN,2.260837e-04,NaN,1.824490e-03,3.932016e-04,3.944108e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,1.171780e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.025796e-01,1.000000e-02,1.182284e+00,3.390404e+00,4.871496e-01,4.396913e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.357313e-04,NaN,7.834376e-05,NaN,7.159901e-05,NaN,5.772829e-04,1.247226e-04,1.248637e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,1.171674e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.025898e-01,1.000000e-02,1.182316e+00,3.390396e+00,4.871490e-01,4.396957e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.456690e-05,NaN,2.479965e-05,NaN,2.265474e-05,NaN,1.826069e-04,3.948350e-05,3.950397e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,1.171641e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.025931e-01,1.000000e-02,1.182326e+00,3.390394e+00,4.871488e-01,4.396971e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.357961e-05,NaN,7.843954e-06,NaN,7.164545e-06,NaN,5.774409e-05,1.248861e-05,1.249267e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,1.171630e-01,1.000000e-09,1.000000e-01,1.147905e-13,1.403571e+00,9.025941e-01,1.000000e-02,1.182330e+00,3.390393e+00,4.871487e-01,4.396975e-01,1.000000e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.457339e-06,NaN,2.480924e-06,NaN,2.265939e-06,NaN,1.826227e-05,3.949986e-06,3.951028e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
